part_id,part_name,category,subcategory,brand,compatible_make,compatible_model,compatible_year_start,compatible_year_end,price_usd,stock_quantity,weight_lbs,material,warranty_months,description
P00001,Bosch Transmission Fluid,Filters & Fluids,Transmission Fluid,Bosch,Jeep,Cherokee,2011,2014,481.07,173,33.4,Cast Iron,36,"Premium Bosch transmission fluid engineered for Jeep Cherokee models, offering reliable performance and a direct OEM fit."
P00002,ACDelco Steering Wheel Cover,Interior,Steering Wheel Cover,ACDelco,Toyota,Camry,2011,2014,394.88,143,9.2,Semi-Metallic,60,"Semi-Metallic-constructed steering wheel cover by ACDelco, a popular upgrade choice for Toyota Camry owners seeking improved reliability."
P00003,TRQ Transmission Filter,Transmission,Transmission Filter,TRQ,Mercedes-Benz,GLC,2020,2022,456.5,87,12.7,Cast Iron,6,"Heavy-duty transmission filter from TRQ, compatible with Mercedes-Benz GLC; tested to meet or exceed OEM specifications."
P00004,Mahle Timing Belt,Engine,Timing Belt,Mahle,Honda,CR-V,2021,2025,178.55,11,32.9,Carbon Fiber Blend,36,"Premium Mahle timing belt engineered for Honda CR-V models, offering reliable performance and a direct OEM fit."
P00005,Delphi Clutch Kit,Transmission,Clutch Kit,Delphi,Nissan,Murano,2018,2024,379.07,180,3.4,Composite,60,"Delphi clutch kit designed as a direct replacement for Nissan Murano, built with Composite for extended durability."
P00006,Gates Radiator,Cooling,Radiator,Gates,GMC,Sierra,2014,2018,416.46,93,7.6,Copper,12,"Gates radiator designed as a direct replacement for GMC Sierra, built with Copper for extended durability."
P00007,Mevotech Power Steering Fluid,Filters & Fluids,Power Steering Fluid,Mevotech,Mazda,Mazda3,2017,2020,476.36,41,21.0,Semi-Metallic,12,"Semi-Metallic-constructed power steering fluid by Mevotech, a popular upgrade choice for Mazda Mazda3 owners seeking improved reliability."
P00008,Bendix Wiring Harness,Electrical,Wiring Harness,Bendix,GMC,Sierra,2011,2013,266.14,16,9.7,Composite,36,"Heavy-duty wiring harness from Bendix, compatible with GMC Sierra; tested to meet or exceed OEM specifications."
P00009,Centric Wiring Harness,Electrical,Wiring Harness,Centric,Kia,Rio,2015,2018,98.49,190,25.4,Rubber,12,"Rubber-constructed wiring harness by Centric, a popular upgrade choice for Kia Rio owners seeking improved reliability."
P00010,Mahle Shift Solenoid,Transmission,Shift Solenoid,Mahle,Hyundai,Sonata,2010,2016,67.26,12,38.8,Copper,6,"Mahle shift solenoid designed as a direct replacement for Hyundai Sonata, built with Copper for extended durability."
